"location","source","target"
"night:ATTACK_SOLVED","The day was cut short by a terrorist attack.",""
"night:ATTACK_SOLVED","SHARPSHOOTER BONUS",""
"night:POISONING","The day was cut short by a security incident.",""
"night:FAMILY_PICTURE","Your wife found an old family picture.",""
"night:BUY_UPGRADE0","Booth Upgrade Available: SPACE key to toggle INSPECT mode.",""
"night:BUY_UPGRADE0","UPGRADE BOOTH",""
"night:BUY_UPGRADE1","Booth Upgrade Available: TAB key to toggle stamp bar.",""
"night:BUY_UPGRADE1","UPGRADE BOOTH",""
"night:BUY_UPGRADE2","Booth Upgrade Available: Rulebook shortcuts.",""
"night:BUY_UPGRADE2","UPGRADE BOOTH",""
"night:BUY_UPGRADE3","Booth Upgrade Available: Double-click for quick INSPECT.",""
"night:BUY_UPGRADE3","UPGRADE BOOTH",""
"night:APARTMENT_RENT","The rent has gone up.",""
"night:APARTMENT_UPGRADE","A cheaper class 8 apartment is available (Rent = 25, Heat = 10)",""
"night:APARTMENT_UPGRADE","MOVE TO CLASS-8",""
"night:APARTMENT_UPGRADE","A class-7 apartment is available. (Rent = 30, Heat = 10)",""
"night:APARTMENT_UPGRADE","MOVE TO CLASS-7",""
"night:APARTMENT_UPGRADE","A class-6 apartment is available. (Rent = 40, Heat = 5)",""
"night:APARTMENT_UPGRADE","MOVE TO CLASS-6",""
"night:APARTMENT_UPGRADE","A class-5 apartment is available. (Rent = 50, Heat = 0)",""
"night:APARTMENT_UPGRADE","Class-5 is the best a worker can have.",""
"night:APARTMENT_UPGRADE","MOVE TO CLASS-5",""
"night:SON_BIRTHDAY","Your son's birthday is in 2 days.",""
"night:SON_BIRTHDAY2","Your son's birthday is tomorrow. He wants an expensive crayon set.",""
"night:SON_BIRTHDAY2","SON'S GIFT",""
"night:SON_BIRTHDAY3","Your son has drawn a picture for you to take to work.",""
"night:NIECE","Your sister has been arrested. Her young daughter needs a home.",""
"night:NIECE","ADOPT NIECE",""
"night:NIECE2_YES","Your niece has brought her mother's savings.",""
"night:NIECE2_YES","SISTER'S SAVINGS",""
"night:NIECE2_NO","Your niece has disappeared.",""
"night:FRIENDLY_GUARD_PAYOUT","A young woman dropped off something.",""
"night:FRIENDLY_GUARD_PAYOUT","ELISA'S GIFT",""
"night:DETAIN_PAYOUT","DETAIN BONUS",""
"night:EZIC_PAYOUT","A strange man brought money. Uncheck to burn it.",""
"night:EZIC_PAYOUT","EZIC GIFT",""
"night:EZIC_PAYOUT_RETRY","A strange man brought money again. Uncheck to burn it.",""
"night:EZIC_PAYOUT_RETRY","EZIC GIFT",""
"night:EZIC_TAKESAVINGS","The neighbors have reported your new wealth.",""
"night:EZIC_TAKESAVINGS","The Ministry of Income has confiscated your savings pending investigation.",""
"night:EZIC_CLEARED","The Ministry of Income has cleared all wrongdoing.",""
"night:EZIC_CLEARED","Your savings will not be returned.",""
"night:EZIC_REWARD","A small package arrived.",""
"night:EZIC_REWARD","EZIC GIFT",""
"night:TAKE_FAMILY_PASSPORTS","The Ministry of Information has confiscated your family's passports.",""
"night:ESCAPE","You can now escape to Obristan by yourself.",""
"night:ESCAPE","You can now escape to Obristan with one family member.",""
"night:ESCAPE","You can now escape to Obristan with two family members.",""
"night:ESCAPE","You can now escape to Obristan with three family members.",""
"night:ESCAPE","You can now escape to Obristan with four family members.",""
"night:ESCAPE","You can now escape to Obristan with everyone.",""
"night:ESCAPE_1","ESCAPE (SELF)",""
"night:ESCAPE_2","ESCAPE (SELF+1)",""
"night:ESCAPE_3","ESCAPE (SELF+2)",""
"night:ESCAPE_4","ESCAPE (SELF+3)",""
"night:ESCAPE_5","ESCAPE (SELF+4)",""
"night:ESCAPE_6","ESCAPE (SELF+5)",""
"night:HANGINGS_PENALTY","A fine has been assessed for unofficial wall hangings.",""
"night:HANGINGS_PENALTY","HANGINGS FINE",""
"night:SELL_WATCH","You sold the digital watch on your way home.",""
"night:SELL_WATCH","WATCH PROFIT",""
"night:EASY_MODE","EASY MODE CRUTCH",""
"night:SNEAK_HOME","You have rushed home amid the panic at work to check on your family.",""
"night:SNEAK_HOME","Your information audit is scheduled for tomorrow morning.",""
"note:EZIC_CORMAN","ARSTOTZKA IS GREAT COUNTRY POISONED BY CORRUPT LEADERS

WAR HAS MADE GOV'T GREEDY AND PARANOID - YOU HAVE SEEN FOR YOURSELF

HELP US FREE ARSTOTZKA FROM ITS SHACKLES


* THE ORDER OF THE EZIC STAR",""
"note:EZIC_HANDLER_POST0","FIRST AGENT WAS DENIED

SECOND WILL COME IN THREE DAYS

DO NOT MAKE SAME MISTAKE",""
"note:EZIC_HANDLER_PRE1","LARGE GIFT WAS MISTAKE

MINISTRY OF INFORMATION NOW INVESTIGATES YOUR CONNECTION TO EZIC

NEXT AGENT COMES TODAY

WILL SOLVE PROBLEM

DENY AT OWN RISK",""
"note:EZIC_HANDLER_POST1","BOTH AGENTS WERE DENIED

WE CANNOT SUCCEED WITHOUT YOUR HELP

WHEN ARSTOTZKA WAS BORN, THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN",""
"note:EZIC_HANDLER_POST1","ONLY ONE AGENT APPROVED

WE CANNOT SUCCEED WITHOUT YOUR HELP

WHEN ARSTOTZKA WAS BORN ,THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN",""
"note:EZIC_HANDLER_POST1","YOU HAVE DONE WELL

BOTH AGENTS NOW OPERATING

WHEN ARSTOTZKA WAS BORN, THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN",""
"note:EZIC_HANDLER_EXT","BORDER ATTACKS ARE NOT EZIC OPERATIONS

UNKNOWN EXTREMIST GROUPS RESPONSIBLE

THE ORDER AIMS TO WEAKEN CORRUPT POWER CENTERS - NOT INJURE INNOCENTS - EZIC AGENT ARRIVES TODAY TO UNCOVER EXTREMISTS",""
"note:EZIC_POISON_MESSENGER","ASSASSIN COMING FROM ANTEGRIA

WILL TARGET IMPORTANT EZIC AGENT IN ARSTOTZKA

MUST BE STOPPED

HIS NAME IS KHALED ISTOM

DO NOT FORGET",""
"note:EZIC_HANDLER_SNIPE","KHALED IS RETURNING - HE NOW CARRIES INFORMATION ON ALL EZIC AGENTS

CANNOT TAKE CHANCES - YOU MUST KILL HIM TODAY - MAN IN RED - WE WILL PROVIDE OPPORTUNITY

IF SUCCEED, YOU WILL BE CAUGHT - MUST SACRIFICE SELF FOR ARSTOTZKA - FAMILY WILL BE SAFE",""
"note:EZIC_HANDLER_SNIPE","KHALED KILLED TWO EZIC AGENTS - ANOTHER ASSASSIN COMES - MAN IN RED - CARRIES INFO ON ALL EZIC IN ARSTOTZKA

CANNOT TAKE CHANCES - YOU MUST KILL HIM TODAY - WE WILL PROVIDE OPPORTUNITY

IF SUCCEED, YOU WILL BE CAUGHT - MUST SACRIFICE SELF FOR ARSTOTZKA - FAMILY WILL BE SAFE",""
"note:EZIC_HANDLER_SNIPE","KHALED DEALT WITH - ANOTHER ASSASSIN COMES - MAN IN RED - CARRIES INFO ON ALL EZIC IN ARSTOTZKA

CANNOT TAKE CHANCES - YOU MUST KILL HIM TODAY - WE WILL PROVIDE OPPORTUNITY

IF SUCCEED, YOU WILL BE CAUGHT - MUST SACRIFICE SELF FOR ARSTOTZKA - FAMILY WILL BE SAFE",""
"note:EZIC_HANDLER_POSTSNIPE","WE HAVE MISSED OUR CHANCE

MAN IN RED SURVIVES

HE NOW TARGETS EZIC AGENTS IN KOLECHIA

OUR PLANS MUST ADAPT",""
"note:EZIC_HANDLER_DIPLO","GOVERNMENT PLANS TO YIELD TO KOLECHIAN DEMANDS AND FURTHER CEDE GRESTIN

NEGOTIATIONS MUST BE IMPEDED

ALLOW KOLECHIAN DIPLOMAT ENTRY BUT CONFISCATE PASSPORT FIRST

EZIC AGENT WILL FOLLOW TO ASSUME IDENTITY",""
"note:EZIC_FINAL","GRESTIN CHECKPOINT IS AT AN END

TODAY WE BREAK THIS WALL DOWN

YOU WILL BE SAFE

HOLD YOUR FIRE

* THE ORDER OF THE EZIC STAR",""
"traveler:DEFAULT","Where is my passport? ; My passport? ; Passport? ; What is this slip? Where is passport?",""
"traveler:DEFAULT","@It is being confiscated.",""
"traveler:DEFAULT","How will I travel? ; What should I do? ; Why? ; You cannot do this.",""
"traveler:DEFAULT","@Contact number on slip.",""
"traveler:EZIC_INTRO","The Order awaits.",""
"traveler:EZIC_CORMAN","Very good.",""
"traveler:EZIC_CORMAN","Read quickly.",""
"traveler:EZIC_CORMAN","Do not lose this.",""
"traveler:EZIC_CORMAN","You have something of mine.",""
"traveler:EZIC_CORMAN","My name is Corman Drex.",""
"traveler:EZIC_CORMAN","Read the note then return it to me.",""
"traveler:EZIC_HANDLER_PRE0","Our agents are ready.",""
"traveler:EZIC_HANDLER_PRE0","Starting tomorrow.",""
"traveler:EZIC_HANDLER_PRE0","Let them pass.",""
"traveler:EZIC_AGENT0","The Order rises.",""
"traveler:EZIC_AGENT0","The Order knows.",""
"traveler:EZIC_AGENT1","For Arstotzka and the Order.",""
"traveler:EZIC_HANDLER_POST1","Give me the coded documents.",""
"traveler:EZIC_HANDLER_POST1","Both.",""
"traveler:EZIC_HANDLER_EXT","Today.",""
"traveler:EZIC_AGENT_EXT","For Arstotzka and the Order.",""
"traveler:EZIC_AGENT_EXT","The others do not agree, but I believe the man in red is not a threat.",""
"traveler:EZIC_AGENT_EXT","@What?",""
"traveler:EZIC_AGENT_EXT","Nevermind.",""
"traveler:EZIC_HANDLER_SNIPE","Shoot to kill.",""
"traveler:EZIC_DIPLO","I require my passport.",""
"traveler:EZIC_DIPLO","@It has been confiscated.",""
"traveler:EZIC_DIPLO","I am Kolechian diplomat here on government request.",""
"traveler:EZIC_DIPLO","Return passport at once.",""
"traveler:EZIC_DIPLO","@Call number on slip to recover.",""
"traveler:EZIC_DIPLO","Barbarian.",""
"traveler:EZIC_DIPLO","You cannot do this.",""
"traveler:EZIC_DIPLO_FOLLOW","I saw him enter.",""
"traveler:EZIC_DIPLO_FOLLOW","Give his passport to me.",""
"traveler:EZIC_DIPLO_FOLLOW","Ah good.",""
"traveler:EZIC_DIPLO_FOLLOW","I look much the same as him.",""
"traveler:EZIC_DIPLO_FOLLOW","Just need to shave my mustache.",""
"traveler:EZIC_DIPLO_FOLLOW","But we all must make sacrifices.",""
"traveler:EZIC_DIPLO_FOLLOW","Appove the visa.",""
"traveler:EZIC_DIPLO_FOLLOW","For Arstotzka and the Order.",""
"traveler:EZIC_DIPLO_FOLLOW","This is not what was agreed on.",""
"traveler:EZIC_DIPLO_FOLLOW","I am sent to collect diplomat's passport.",""
"traveler:EZIC_DIPLO_FOLLOW","@I do not have it.",""
"traveler:SECRET_POLICE_INTRO","Good morning, inspector.",""
"traveler:SECRET_POLICE_INTRO","You are healthy today yes?",""
"traveler:SECRET_POLICE_INTRO","I have just few questions for you.",""
"traveler:SECRET_POLICE_INTRO","There was problem at Metro last night.",""
"traveler:SECRET_POLICE_INTRO","Maybe you read about it in paper.",""
"traveler:SECRET_POLICE_INTRO","Is very big news.",""
"traveler:SECRET_POLICE_INTRO","We think it is not accident.",""
"traveler:SECRET_POLICE_INTRO","We think it is caused by suspicious group.",""
"traveler:SECRET_POLICE_INTRO","We think some members pass through this checkpoint.",""
"traveler:SECRET_POLICE_INTRO","So we come talk to you.",""
"traveler:SECRET_POLICE_INTRO","Have you seen anything like this?",""
"traveler:SECRET_POLICE_INTRO","Is some kind of symbol for group.",""
"traveler:SECRET_POLICE_INTRO","If you have any information, you give to us yes?",""
"traveler:SECRET_POLICE_INTRO","Yes?",""
"traveler:SECRET_POLICE_INTRO","@Yes.",""
"traveler:SECRET_POLICE_INTRO","Very good.",""
"traveler:SECRET_POLICE_INTRO","Please return my badge and paper.",""
"traveler:SECRET_POLICE_INTRO","We think suspicious group attempts to stir trouble.",""
"traveler:SECRET_POLICE_INTRO","We think some members enter this checkpoint.",""
"traveler:SECRET_POLICE_INTRO","What is this?",""
"traveler:SECRET_POLICE_INTRO","Interesting.",""
"traveler:SECRET_POLICE_INTRO","Yes, very interesting.",""
"traveler:SECRET_POLICE_INTRO","I think it is best if you come with me.",""
"traveler:SECRET_POLICE_INTRO","This group is very dangerous.",""
"traveler:SECRET_POLICE_INTRO","If you see any curious thing, report immediately.",""
"traveler:SECRET_POLICE_CAUGHT","Hello inspector.",""
"traveler:SECRET_POLICE_CAUGHT","There is small discrepancy with your finances.",""
"traveler:SECRET_POLICE_CAUGHT","The Ministry of Income was thoughtful enough to notify us.",""
"traveler:SECRET_POLICE_CAUGHT","It is best if you come with me.",""
"traveler:SECRET_POLICE_FINAL","Inspector.",""
"traveler:SECRET_POLICE_FINAL","It has been some time.",""
"traveler:SECRET_POLICE_FINAL","Read your bulletin carefully today.",""
"traveler:SECRET_POLICE_FINAL","We will be speaking with many workers.",""
"traveler:SECRET_POLICE_FINAL","Your audit comes soon.",""
"traveler:SECRET_POLICE_FINAL","I will personally conduct it.",""
"traveler:SECRET_POLICE_FINAL","There is nothing to fear.",""
"traveler:SECRET_POLICE_FINAL","Work hard.",""
"traveler:JORJI_BASE","All right! You the best!",""
"traveler:JORJI_BASE","Arstotzka the best!",""
"traveler:JORJI_BASE","Here, take this!",""
"traveler:JORJI0","Ok! Here we go!",""
"traveler:JORJI0","Glory to Arstotzka!",""
"traveler:JORJI0","The greatest country!",""
"traveler:JORJI0","@Where is your passport?",""
"traveler:JORJI0","Passport!",""
"traveler:JORJI0","Arstotzka so great, passport not required.",""
"traveler:JORJI0","Right?",""
"traveler:JORJI0","@A passport is required.",""
"traveler:JORJI0","Ok, ok. I hear you.",""
"traveler:JORJI0","I come back again.",""
"traveler:JORJI1","Ok! Hello again!",""
"traveler:JORJI1","Now I have passport!",""
"traveler:JORJI1","Arstotzka still best country for sure!",""
"traveler:JORJI1","@This passport is crude fake.",""
"traveler:JORJI1","Hey now! Is not true!",""
"traveler:JORJI1","Is pre-approved!",""
"traveler:JORJI1","@ Cobrastan is not a real country.",""
"traveler:JORJI1","Ok, ok.",""
"traveler:JORJI1","You no like passport, I understand.",""
"traveler:JORJI1","I come back again with better one.",""
"traveler:JORJI2","Old friend hello!",""
"traveler:JORJI2","I am back again!",""
"traveler:JORJI2","This time everything set.",""
"traveler:JORJI2","@You are missing an entry permit.",""
"traveler:JORJI2","Oh man you funny guy!",""
"traveler:JORJI2","@An entry permit is required.",""
"traveler:JORJI2","Wow, you run very strict border here.",""
"traveler:JORJI2","That is good. Do job right.",""
"traveler:JORJI2","I look for entry thing and come back.",""
"traveler:JORJI3","Hey it is me!",""
"traveler:JORJI3","Are you happy to see?",""
"traveler:JORJI3","I have everything you ask for now.",""
"traveler:JORJI3","@Tickets are no longer accepted.",""
"traveler:JORJI3","Hey no!",""
"traveler:JORJI3","Guy sold me ticket. Say is good!",""
"traveler:JORJI3","You check again maybe.",""
"traveler:JORJI3","@Do not come back again.",""
"traveler:JORJI3","Haha!",""
"traveler:JORJI3","You nice guy but I have business in Arstotzka.",""
"traveler:JORJI3","I get right papers and come see you.",""
"traveler:JORJI4","Hello my guy!",""
"traveler:JORJI4","Ok. Today is day!",""
"traveler:JORJI4","Look at all good papers.",""
"traveler:JORJI4","Was not easy.",""
"traveler:JORJI4","Or cheap! Haha!",""
"traveler:JORJI4","@I told you not to come back.",""
"traveler:JORJI4","This is crap.",""
"traveler:JORJI4","You know what? Forget it.",""
"traveler:JORJI4","Arstotzka worst country.",""
"traveler:JORJI4","You worst person.",""
"traveler:JORJI4","Thank you so much!",""
"traveler:JORJI4","If I am honest to you, I was little nervous.",""
"traveler:JORJI4","Even with right papers is hard to say.",""
"traveler:JORJI4","Ok bye!",""
"traveler:JORJI_SMUGGLE0","Again I am here!",""
"traveler:JORJI_SMUGGLE0","Everything all set up now.",""
"traveler:JORJI_SMUGGLE0","I come through often to see you.",""
"traveler:JORJI_SMUGGLE0","We become good friends!",""
"traveler:JORJI_SMUGGLE0","@Your weight is different.",""
"traveler:JORJI_SMUGGLE0","Is sad story.",""
"traveler:JORJI_SMUGGLE0","My wife very bad cook.",""
"traveler:JORJI_SMUGGLE0","But if I do not eat, she get angry.",""
"traveler:JORJI_SMUGGLE0","Uh oh, maybe you not like this!",""
"traveler:JORJI_SMUGGLE0","@What is this?",""
"traveler:JORJI_SMUGGLE0","Is drugs!",""
"traveler:JORJI_SMUGGLE0","I have little side business here.",""
"traveler:JORJI_SMUGGLE0","You let me through and I give you something something.",""
"traveler:JORJI_SMUGGLE0","@Something what?",""
"traveler:JORJI_SMUGGLE0","Ten credits.",""
"traveler:JORJI_SMUGGLE0","I give you ten credits for just little stamp.",""
"traveler:JORJI_SMUGGLE0","@Wait here Jorji.",""
"traveler:JORJI_SMUGGLE0","Is ok, I understand.",""
"traveler:JORJI_SMUGGLE0","Drugs are bad. Not good for kids.",""
"traveler:JORJI_SMUGGLE0","You do great work here still.",""
"traveler:JORJI_SMUGGLE0","Ok!",""
"traveler:JORJI_SMUGGLE0","We go full speed!",""
"traveler:JORJI_SMUGGLE0","Hey what is problem?",""
"traveler:JORJI_SMUGGLE0","@I do not trust you.",""
"traveler:JORJI_SMUGGLE0","Ok, ok.",""
"traveler:JORJI_SMUGGLE0","You good guy so I win trust next time.",""
"traveler:JORJI_SMUGGLE1","Ok, I am back!",""
"traveler:JORJI_SMUGGLE1","Same procedure!",""
"traveler:JORJI_SMUGGLE1","They told me this hard business.",""
"traveler:JORJI_SMUGGLE1","So far everything smooth like ice!",""
"traveler:JORJI_SMUGGLE1","Thanks to you!",""
"traveler:JORJI_SMUGGLE1","Buy something happy for wife.",""
"traveler:JORJI_SMUGGLE1","Phew!",""
"traveler:JORJI_SMUGGLE1","Was tough one. Lucky for me, guard was easy.",""
"traveler:JORJI_SMUGGLE1","He asks for big money but is reasonable man.",""
"traveler:JORJI_SMUGGLE1","Oh man, again!",""
"traveler:JORJI_SMUGGLE1","That guard have another good day.",""
"traveler:JORJI_SMUGGLE1","Not sure I keep this up with no sales!",""
"traveler:JORJI_SMUGGLE1","Ok, we try again!",""
"traveler:JORJI_SMUGGLE1","Sorry to bother you, but this my only job.",""
"traveler:JORJI_SMUGGLE1","@Wait here, Jorji.",""
"traveler:JORJI_SMUGGLE1","Is ok, I understand.",""
"traveler:JORJI_SMUGGLE1","Drugs are bad. Not good for kids.",""
"traveler:JORJI_SMUGGLE1","You do great work here still.",""
"traveler:JORJI_SMUGGLE1","@I see a difference here.",""
"traveler:JORJI_SMUGGLE1","Is real mystery for sure.",""
"traveler:JORJI_SMUGGLE1","Maybe things get too sexy in here.",""
"traveler:JORJI_SMUGGLE1","@Drugs?",""
"traveler:JORJI_SMUGGLE1","Looks like good stuff right?",""
"traveler:JORJI_SMUGGLE1","Wait! I give you 10 credits for ok stamp!",""
"traveler:JORJI_SMUGGLE1","Think about family!",""
"traveler:JORJI_SMUGGLE1","They can buy many happy things with these credits.",""
"traveler:JORJI_SMUGGLE1","Just for little harmless drugs!",""
"traveler:JORJI_SMUGGLE1","This much better, see?",""
"traveler:JORJI_SMUGGLE1","Wow, you really stand-up guy.",""
"traveler:JORJI_SMUGGLE1","Maybe is not so good for me when I think about.",""
"traveler:JORJI_CRIMINAL","Is good to see you again!",""
"traveler:JORJI_CRIMINAL","Today I come just for short visit.",""
"traveler:JORJI_CRIMINAL","Everything is definitely ok with me.",""
"traveler:JORJI_CRIMINAL","For sure I am not in criminal bulletin or anything!",""
"traveler:JORJI_CRIMINAL","@Your face is in wanted bulletin.",""
"traveler:JORJI_CRIMINAL","What! I pay police like crazy!",""
"traveler:JORJI_CRIMINAL","They promise no bulletin. All clear they say.",""
"traveler:JORJI_CRIMINAL","I think twice about trusting friendly people.",""
"traveler:JORJI_CRIMINAL","Hey I really like you.",""
"traveler:JORJI_CRIMINAL","I know is risky to help me like this.",""
"traveler:JORJI_CRIMINAL","I try to make it up for you.",""
"traveler:JORJI_CRIMINAL","Ah, is ok.",""
"traveler:JORJI_CRIMINAL","At least you do not arrest me.",""
"traveler:JORJI_CRIMINAL","Thanks anyways.",""
"traveler:JORJI_CRIMINAL","@Sorry Jorji.",""
"traveler:JORJI_CRIMINAL","Ah, is ok. Most police know me now.",""
"traveler:JORJI_CRIMINAL","I have little talk with them again.",""
"traveler:JORJI_CRIMINAL","Anyway, you have tough job.",""
"traveler:JORJI_CRIMINAL","I rather sell drugs!",""
"traveler:JORJI_PASSPORTS","I read newspaper.",""
"traveler:JORJI_PASSPORTS","@Hello Jorji.",""
"traveler:JORJI_PASSPORTS","Things getting little crazy in Arstotzka.",""
"traveler:JORJI_PASSPORTS","Maybe you think about going away for a bit.",""
"traveler:JORJI_PASSPORTS","Obristan is good place.",""
"traveler:JORJI_PASSPORTS","Right next door up north.",""
"traveler:JORJI_PASSPORTS","@Our passports have been confiscated.",""
"traveler:JORJI_PASSPORTS","@We cannot leave.",""
"traveler:JORJI_PASSPORTS","Hey that not good sign.",""
"traveler:JORJI_PASSPORTS","Hold on.",""
"traveler:JORJI_PASSPORTS","I know a guy.",""
"traveler:JORJI_PASSPORTS","Just give him real passports to work with.",""
"traveler:JORJI_PASSPORTS","He changes info to match for you.",""
"traveler:JORJI_PASSPORTS","I learn that in hard way.",""
"traveler:JORJI_PASSPORTS","Thanks again!",""
"traveler:JORJI_PASSPORTS","Bah! Maybe you right.",""
"traveler:JORJI_PASSPORTS","Better to take little break.",""
"traveler:JORJI_PASSPORTS","Hey what the hell?",""
"traveler:JORJI_PASSPORTS","You take my passport!",""
"traveler:JORJI_PASSPORTS","You can see it was expensive!",""
"traveler:JORJI_PASSPORTS","@You said I need real Obristan passports.",""
"traveler:JORJI_PASSPORTS","Man. Fine.",""
"traveler:JORJI_PASSPORTS","I get another but little unhappy about it.",""
"traveler:JORJI_PASSPORTS","Memorize flyer and give back.",""
"traveler:JORJI_PASSPORTS","Hey you know what.",""
"traveler:JORJI_PASSPORTS","Take my passport.",""
"traveler:JORJI_PASSPORTS","I get another one no problem.",""
"traveler:JORJI_PASSPORTS","Now memorize flyer and give back if you finish reading.",""
"traveler:JORJI_PASSPORTS","Do not want to get in trouble!",""
"traveler:JORJI_PASSPORTS","Obristan really great this time of year.",""
"traveler:JORJI_PASSPORTS","Lots of snow.",""
"traveler:JORJI_PASSPORTS","Not sure where you get more passports for family.",""
"traveler:JORJI_PASSPORTS","But you smart guy.",""
"traveler:JORJI_PASSPORTS","Probably figure it out!",""
"traveler:JORJI_PASSPORTS","Good luck.",""
"traveler:JORJI_GOODBYE","Ho boy! I make big score!",""
"traveler:JORJI_GOODBYE","Huge! You have no idea!",""
"traveler:JORJI_GOODBYE","Anyway. I just want to say thank you.",""
"traveler:JORJI_GOODBYE","I wait in line just for that!",""
"traveler:JORJI_GOODBYE","Maybe I quit now.",""
"traveler:JORJI_GOODBYE","Haha!",""
"traveler:BROTHEL0","Hello handsome.",""
"traveler:BROTHEL0","You look bored.",""
"traveler:BROTHEL0","If you want good time, come see us.",""
"traveler:BROTHEL0","I will be around couple months.",""
"traveler:BROTHEL0","Don't forget to visit.",""
"traveler:BROTHEL1","Hey there.",""
"traveler:BROTHEL1","I can make you happy any time.",""
"traveler:BROTHEL1","Come to Pink Vice. Ask for Ava.",""
"traveler:BROTHEL2","Oh. Here.",""
"traveler:BROTHEL2","Please help me.",""
"traveler:BROTHEL3","Hello friend.",""
"traveler:BROTHEL3","You come down, I give you good girl.",""
"traveler:BROTHEL3","That little bitch.",""
"traveler:BROTHEL3","I break her in two.",""
"traveler:BROTHEL3","@You are Dari Ludum?",""
"traveler:BROTHEL3","Of course, it says on passport.",""
"traveler:BROTHEL3","@One moment.",""
"traveler:BROTHEL3","What is this shit?",""
"traveler:BROTHEL3","Give my papers back.",""
"traveler:KILLERATHLETE","@You are Vince Lestrade?",""
"traveler:KILLERATHLETE","Damn.",""
"traveler:KILLERATHLETE","Look, I did not kill her. I was set up.",""
"traveler:KILLERATHLETE","Do not believe the Republian lies.",""
"traveler:KILLERATHLETE","Let me through.",""
"traveler:KILLERATHLETE","Shit.",""
"traveler:HUSBAND_WIFE0","Today is beautiful day, my friend.",""
"traveler:HUSBAND_WIFE0","We finally become free from Antegrian tyranny!",""
"traveler:HUSBAND_WIFE0","Thank you so much!",""
"traveler:HUSBAND_WIFE0","Please be kind to my wife, she is just after me.",""
"traveler:HUSBAND_WIFE0","No! They will kill us!",""
"traveler:HUSBAND_WIFE0","Please, I beg you.",""
"traveler:HUSBAND_WIFE0","Let my wife pass. She is coming to you next.",""
"traveler:HUSBAND_WIFE1","Did you see my husband?",""
"traveler:HUSBAND_WIFE1","He made it through, yes?",""
"traveler:HUSBAND_WIFE1","@Where is your entry permit?",""
"traveler:HUSBAND_WIFE1","Please, I beg you.",""
"traveler:HUSBAND_WIFE1","They would not give me permit. I have no choice.",""
"traveler:HUSBAND_WIFE1","I will be killed if I return to Antegria.",""
"traveler:HUSBAND_WIFE1","Thank you.",""
"traveler:HUSBAND_WIFE1","We will not forget.",""
"traveler:HUSBAND_WIFE1","Why?",""
"traveler:HUSBAND_WIFE1","You have doomed me.",""
"traveler:HUSBAND_WIFE1","Why did you turn my husband away?",""
"traveler:HUSBAND_WIFE1","I will not leave him to die.",""
"traveler:HUSBAND_WIFE1","You have doomed us both.",""
"traveler:HIRING_ENGINEERS_START","You see many people, yes?",""
"traveler:HIRING_ENGINEERS_START","I am looking for engineers.",""
"traveler:HIRING_ENGINEERS_START","Do me a favor.",""
"traveler:HIRING_ENGINEERS_START","Give my card to any engineers you meet.",""
"traveler:HIRING_ENGINEERS_START","I come back in few days.",""
"traveler:HIRING_ENGINEERS_START","Pay you 5 credits for each engineer that calls me.",""
"traveler:HIRING_ENGINEERS_START","You make a mistake but I let you fix it.",""
"traveler:HIRING_ENGINEERS","What is this?",""
"traveler:HIRING_ENGINEERS","Oh. Huh. ; Huh. ; They are hiring?",""
"traveler:HIRING_ENGINEERS","I have already.",""
"traveler:HIRING_ENGINEERS","Stop giving to me.",""
"traveler:HIRING_ENGINEERS","Forget it, take them both. I don't want.",""
"traveler:HIRING_ENGINEERS_END","Is good card, yes? ; Thanks ; These were not cheap you know. ;",""
"traveler:HIRING_ENGINEERS_END","I am back.",""
"traveler:HIRING_ENGINEERS_END","How many engineers did you meet?",""
"traveler:HIRING_ENGINEERS_END","I got no calls.",""
"traveler:HIRING_ENGINEERS_END","You gave my cards to no one.",""
"traveler:HIRING_ENGINEERS_END","Thank you for nothing.",""
"traveler:HIRING_ENGINEERS_END","I get only one call.",""
"traveler:HIRING_ENGINEERS_END","I'm lucky that he is good lead.",""
"traveler:HIRING_ENGINEERS_END","Here is what I promised.",""
"traveler:HIRING_ENGINEERS_END","I got two calls.",""
"traveler:HIRING_ENGINEERS_END","One guy, he was good.",""
"traveler:HIRING_ENGINEERS_END","Other one not so much.",""
"traveler:HIRING_ENGINEERS_END","Thanks anyways.",""
"traveler:HIRING_ENGINEERS_END","I got three calls.",""
"traveler:HIRING_ENGINEERS_END","Two guys were good.",""
"traveler:HIRING_ENGINEERS_END","Last one was a fool. Didn't know basics.",""
"traveler:HIRING_ENGINEERS_END","But is ok. I appreciate.",""
"traveler:HIRING_ENGINEERS_END","I got four calls.",""
"traveler:HIRING_ENGINEERS_END","Three were civil engineers. Useless.",""
"traveler:HIRING_ENGINEERS_END","I need mechanicals. I told you.",""
"traveler:HIRING_ENGINEERS_END","Anyway, is ok. Last guy very sharp.",""
"traveler:HIRING_ENGINEERS_END","Thanks for the help.",""
"traveler:FRIENDLY_GUARD0","Hello.",""
"traveler:FRIENDLY_GUARD0","I heard that you are from Nirsk?",""
